group,t,q,qd,tau_ext_true,r,tau_f_true
A,0.83,0.3701348,1.2212151,0,0.17101128,0.1744243
A,0.84,0.38254987,1.2599583,0,0.17213257,0.17519917
A,0.85,0.39530936,1.2902797,0,0.17301994,0.17580559
A,0.86,0.40833174,1.3126895,0,0.1738366,0.17625379
A,0.87,0.42153995,1.3275769,0,0.17440408,0.17655154
A,0.88,0.43486029,1.3352271,0,0.17473509,0.17670454
A,0.89,0.44822146,1.3358413,0,0.17516483,0.17671683
A,0.9,0.46155384,1.3295581,0,0.17520869,0.17659116
A,0.91,0.47478898,1.3164729,0,0.17511164,0.17632946
A,0.92,0.48785922,1.2966564,0,0.17485735,0.17593313
A,0.93,0.50069755,1.2701691,0,0.17455011,0.17540338
A,0.94,0.51323759,1.2370743,0,0.17402405,0.17474149
A,0.95,0.52541363,1.1974477,0,0.17348167,0.17394895
A,0.96,0.5371608,1.1513846,0,0.17267987,0.17302769
A,0.97,0.54841534,1.0990053,0,0.17177645,0.17198011
A,0.98,0.5591148,1.0404584,0,0.17086003,0.17080917
A,0.99,0.56919839,0.97592252,0,0.16966219,0.16951845
A,1,0.57860724,0.90560757,0,0.16853581,0.16811215
A,1.01,0.58728476,0.82975419,0,0.16724138,0.16659509
A,1.02,0.59517691,0.7486332,0,0.16585504,0.1649727
A,1.03,0.6022325,0.66254417,0,0.1642432,0.16325106
A,1.04,0.60840348,0.57181363,0,0.16253359,0.16143735
A,1.05,0.61364518,0.47679185,0,0.16085163,0.15954306
A,1.06,0.61791652,0.37784099,0,0.15907745,0.15760907
A,1.07,0.62117985,0.27525449,0,0.15728122,0.15591169
A,1.08,0.62339796,0.16857926,0,0.15603161,0.1568051
A,1.09,0.62450409,0.049351636,0,0.15977595,0.18825512
A,1.1,0.62458372,0.0016756887,0,0.12609477,0.24673767
A,1.11,0.62458244,0.0017422237,0,0.046469984,0.24661041
A,1.12,0.62457337,-0.0030905842,0,-0.027862161,-0.2440678
A,1.13,0.62455633,-0.0031536569,0,-0.10468803,-0.24395055
A,1.14,0.62448573,-0.023672634,0,-0.17927905,-0.21275826
A,1.15,0.62365217,-0.15700131,0,-0.18767162,-0.15746819
A,1.16,0.62120251,-0.33319935,0,-0.17255218,-0.15679159
A,1.17,0.61695584,-0.51424074,0,-0.16504807,-0.16028823
A,1.18,0.61091195,-0.69172525,0,-0.16287305,-0.1638346
A,1.19,0.60313097,-0.86117957,0,-0.16347779,-0.16722359
A,1.2,0.59370722,-1.0200943,0,-0.16529818,-0.17040189
A,1.21,0.58275285,-1.1673161,0,-0.16760457,-0.17334632
A,1.22,0.57038665,-1.3025939,0,-0.17027957,-0.17605188
A,1.23,0.55672686,-1.4262343,0,-0.1729887,-0.17852469
A,1.24,0.54188693,-1.5388472,0,-0.17538915,-0.18077694
A,1.25,0.52597347,-1.6411686,0,-0.1778203,-0.18282337
A,1.26,0.50908562,-1.7339417,0,-0.18018586,-0.18467883
A,1.27,0.49131536,-1.8178451,0,-0.18220962,-0.1863569
A,1.28,0.47274838,-1.8934543,0,-0.18395571,-0.18786909
A,1.29,0.45346521,-1.9612274,0,-0.18571178,-0.18922455
A,1.3,0.4335424,-2.0215066,0,-0.18713898,-0.19043013
A,1.31,0.41305359,-2.0745304,0,-0.18836117,-0.19149061
A,1.32,0.39207052,-2.1204499,0,-0.18955749,-0.192409
A,1.33,0.37066375,-2.1593486,0,-0.19073134,-0.19318697
A,1.34,0.34890329,-2.1912613,0,-0.19145942,-0.19382523
A,1.35,0.32685896,-2.2161923,0,-0.19224486,-0.19432385
A,1.36,0.30460061,-2.2341307,0,-0.19272612,-0.19468261
A,1.37,0.28219825,-2.2450639,0,-0.19310837,-0.19490128
A,1.38,0.25972196,-2.2489884,0,-0.19334303,-0.19497977
A,1.39,0.23724176,-2.2459178,0,-0.19349761,-0.19491836
A,1.4,0.21482745,-2.2358893,0,-0.19335267,-0.19471779
A,1.41,0.1925483,-2.2189677,0,-0.19314843,-0.19437935
A,1.42,0.17047279,-2.1952485,0,-0.19295058,-0.19390497
A,1.43,0.14866828,-2.1648594,0,-0.19246066,-0.19329719
A,1.44,0.12720067,-2.1279608,0,-0.19196733,-0.19255922
A,1.45,0.10613413,-2.0847455,0,-0.191346,-0.19169491
A,1.46,0.085530699,-2.0354382,0,-0.19055896,-0.19070876
A,1.47,0.065450046,-1.980294,0,-0.18965954,-0.18960588
A,1.48,0.045949124,-1.9195973,0,-0.18854275,-0.18839195
A,1.49,0.027081906,-1.8536596,0,-0.18752664,-0.18707319
A,1.5,0.0088991196,-1.7828181,0,-0.186217,-0.18565636
A,1.51,-0.0085519984,-1.7074334,0,-0.18501354,-0.18414867
A,1.52,-0.025227928,-1.6278874,0,-0.18352108,-0.18255775
A,1.53,-0.041089069,-1.5445816,0,-0.18208833,-0.18089163
A,1.54,-0.056099922,-1.4579343,0,-0.18056859,-0.17915869
A,1.55,-0.070229249,-1.3683789,0,-0.17878892,-0.17736758
A,1.56,-0.083450212,-1.2763615,0,-0.17715788,-0.17552723
A,1.57,-0.095740491,-1.1823387,0,-0.17543427,-0.17364677
A,1.58,-0.10708237,-1.0867752,0,-0.17374653,-0.1717355
A,1.59,-0.11746282,-0.99014171,0,-0.17192765,-0.16980283
A,1.6,-0.12687353,-0.89291244,0,-0.17006329,-0.16785825
A,1.61,-0.13531094,-0.79556301,0,-0.16836863,-0.16591127
A,1.62,-0.14277625,-0.69856806,0,-0.16633929,-0.16397145
A,1.63,-0.14927539,-0.60239887,0,-0.1645279,-0.16204856
A,1.64,-0.15481898,-0.5075204,0,-0.16273856,-0.16015431
A,1.65,-0.15942221,-0.41438455,0,-0.16096253,-0.15831285
A,1.66,-0.16310465,-0.3234006,0,-0.15917506,-0.15662324
A,1.67,-0.1658892,-0.23477678,0,-0.15765048,-0.15560913
A,1.68,-0.16779686,-0.14764999,0,-0.15702955,-0.15817129
A,1.69,-0.16881666,-0.054443344,0,-0.16185149,-0.18474864
A,1.7,-0.16894536,0.00013100215,0,-0.15194967,0.24974096
A,1.71,-0.16895123,-0.0006293575,0,-0.097497525,-0.24876176
A,1.72,-0.1689536,0.00063705552,0,-0.052213713,0.24874671
A,1.73,-0.16895213,0.0026445365,0,-0.010018322,0.24490126
A,1.74,-0.16894683,-0.0014355397,0,0.033044384,-0.24719846
A,1.75,-0.1689358,0.00098800182,0,0.077346822,0.24806315
A,1.76,-0.16891917,0.0019130113,0,0.12338445,0.24628451
A,1.77,-0.16889668,0.0026558634,0,0.17079044,0.24488
A,1.78,-0.16881399,0.02496732,0,0.20856435,0.21119207
A,1.79,-0.16814006,0.11758475,0,0.19847355,0.16187246
A,1.8,-0.16640838,0.22606126,0,0.17514096,0.15560879
